id,location_id,occupiedseats,freeseats,timestamp
1,3,20,48,2016-04-22 13:34:23
2,4,6,23,2016-04-25 10:03:55
3,5,26,132,2016-04-25 10:04:11
4,12,2,31,2016-04-25 10:04:28
5,13,12,23,2016-04-25 10:04:37
6,14,7,15,2016-04-25 10:04:46
7,6,14,28,2016-04-25 10:05:31
8,7,13,14,2016-04-25 10:05:45
9,1,90,78,2016-04-25 10:05:48
10,8,14,72,2016-04-25 10:05:55
11,15,3,98,2016-04-25 10:06:06
12,16,8,23,2016-04-25 10:06:20
13,2,23,71,2016-04-25 10:06:44
14,9,10,17,2016-04-25 10:07:34
15,3,13,55,2016-04-25 10:07:35
16,10,8,21,2016-04-25 10:07:58
17,11,11,16,2016-04-25 10:08:11
18,17,25,27,2016-04-25 10:08:25
19,20,21,80,2016-04-25 10:08:45
20,18,39,19,2016-04-25 10:09:24
21,9,9,18,2016-04-25 13:03:29
22,10,17,12,2016-04-25 13:03:41
23,6,18,24,2016-04-25 13:03:44
24,11,13,14,2016-04-25 13:03:58
25,7,21,6,2016-04-25 13:04:05
26,12,4,29,2016-04-25 13:04:08
27,13,15,20,2016-04-25 13:04:19
28,14,8,14,2016-04-25 13:04:26
29,4,12,17,2016-04-25 13:04:41
30,8,35,51,2016-04-25 13:04:44
31,5,44,114,2016-04-25 13:04:56
32,1,149,19,2016-04-25 13:05:11
33,17,42,10,2016-04-25 13:05:21
34,5,44,114,2016-04-25 13:05:30
35,18,57,1,2016-04-25 13:05:40
36,2,61,33,2016-04-25 13:06:00
37,20,40,61,2016-04-25 13:06:08
38,3,27,41,2016-04-25 13:06:21
39,18,23,35,2016-04-25 13:09:23
40,19,34,39,2016-04-25 13:09:52
41,15,6,95,2016-04-25 13:10:57
42,16,10,21,2016-04-25 13:11:32
43,4,16,13,2016-04-25 16:00:09
44,6,15,27,2016-04-25 16:00:14
45,7,15,12,2016-04-25 16:00:23
46,5,73,85,2016-04-25 16:00:28
47,12,16,17,2016-04-25 16:00:28
48,8,42,44,2016-04-25 16:00:34
49,17,24,28,2016-04-25 16:00:39
50,13,20,15,2016-04-25 16:00:44
51,14,13,9,2016-04-25 16:01:00
52,20,20,81,2016-04-25 16:01:13
53,9,12,15,2016-04-25 16:01:19
54,10,19,10,2016-04-25 16:02:01
55,11,18,9,2016-04-25 16:02:14
56,18,18,40,2016-04-25 16:04:19
57,19,14,59,2016-04-25 16:05:03
58,15,8,93,2016-04-25 16:08:32
59,16,9,22,2016-04-25 16:08:45
60,1,143,25,2016-04-25 16:25:18
61,2,44,50,2016-04-25 16:26:02
62,3,30,38,2016-04-25 16:26:36
63,17,9,43,2016-04-25 19:01:42
64,18,4,54,2016-04-25 19:02:25
65,19,1,72,2016-04-25 19:02:39
66,1,68,100,2016-04-25 19:59:02
67,2,22,72,2016-04-25 20:00:15
68,4,8,21,2016-04-25 20:02:37
69,5,28,130,2016-04-25 20:03:52
70,15,1,100,2016-04-25 20:05:01
71,16,4,27,2016-04-25 20:07:30
72,6,9,33,2016-04-25 20:09:38
73,7,9,18,2016-04-25 20:10:59
74,8,13,73,2016-04-25 20:12:12
75,14,6,16,2016-04-25 20:14:07
76,11,5,22,2016-04-25 20:15:17
77,13,3,32,2016-04-25 20:16:28
78,10,7,22,2016-04-25 20:17:30
79,12,2,31,2016-04-25 20:18:46
80,9,7,20,2016-04-25 20:19:45
81,12,1,32,2016-04-25 22:55:08
82,13,1,34,2016-04-25 22:55:35
83,9,2,25,2016-04-25 22:56:17
84,10,2,27,2016-04-25 22:57:57
85,14,0,22,2016-04-25 23:00:02
86,11,3,24,2016-04-25 23:01:00
87,6,1,41,2016-04-25 23:03:07
