id,timestamp,name,longname,url,building,level,room,geocoordinates,availableseats,weeklyopeninghours,wlanaccesspoints,ethernetswitches,superlocation_id,,openingWo,closingWo,openingWe,closingWe
16,2016-01-01,00:00:00,UBWZB,"Alte Waschhalle, hinten",http://tuebingen.artec-berlin.de/?lang=de_DE&m=2D&l=10&sl=0&%40subpackage=clients,,,,48.52423,9.06268,31,"C:23:""Leitsystem\\OpeningHours"":1753:{{""base_timestamp"":{""date"":""2013-05-13 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""weekly_opening_hours"":[[{""date"":""2013-05-13 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-13 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-14 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-14 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-15 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-15 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-16 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-16 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-17 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-17 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-18 10:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-18 22:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-19 10:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-19 22:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}]],""exceptional_opening_hours"":[{""start"":{""date"":""2024-11-01 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""end"":{""date"":""2024-11-01 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""opening_hours"":[]},{""start"":{""date"":""2024-12-24 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""end"":{""date"":""2024-12-26 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""opening_hours"":[]}]}}",/^br21-EG-Hintereingang-[0-9]+$/,,08:00:00,00:00:00,10:00:00,22:00:00
15,2016-01-01,00:00:00,UBWZA,"Alte Waschhalle, vorne",http://tuebingen.artec-berlin.de/?lang=de_DE&m=2D&l=10&sl=0&%40subpackage=clients,,,,48.52440,9.06227,101,"C:23:""Leitsystem\\OpeningHours"":1753:{{""base_timestamp"":{""date"":""2013-05-13 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""weekly_opening_hours"":[[{""date"":""2013-05-13 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-13 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-14 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-14 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-15 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-15 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-16 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-16 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-17 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-17 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-18 10:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-18 22:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-19 10:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-19 22:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}]],""exceptional_opening_hours"":[{""start"":{""date"":""2024-11-01 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""end"":{""date"":""2024-11-01 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""opening_hours"":[]},{""start"":{""date"":""2024-12-24 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""end"":{""date"":""2024-12-26 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""opening_hours"":[]}]}}",/^br21-EG-Lesesaal3-[0-9]+|br21-OG-Lesesaal1-[0-9]+$/,,08:00:00,00:00:00,10:00:00,22:00:00
4,2016-01-01,00:00:00,UBA3A,"Ammerbau, Ebene 3, Links",http://tuebingen.artec-berlin.de/?lang=de_DE&m=2D&l=5&sl=0&%40subpackage=clients,,3,,48.52492,9.06310,29,"C:23:""Leitsystem\\OpeningHours"":1753:{{""base_timestamp"":{""date"":""2013-05-13 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""weekly_opening_hours"":[[{""date"":""2013-05-13 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-13 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-14 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-14 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-15 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-15 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-16 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-16 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-17 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-17 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-18 10:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-18 22:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-19 10:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-19 22:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}]],""exceptional_opening_hours"":[{""start"":{""date"":""2024-11-01 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""end"":{""date"":""2024-11-01 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""opening_hours"":[]},{""start"":{""date"":""2024-12-24 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""end"":{""date"":""2024-12-26 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""opening_hours"":[]}]}}",/^br25-3E-links-[0-9]+$/,,08:00:00,00:00:00,10:00:00,22:00:00
5,2016-01-01,00:00:00,UBA3C,"Ammerbau, Ebene 3, Rechts",http://tuebingen.artec-berlin.de/?lang=de_DE&m=2D&l=5&sl=0&%40subpackage=clients,,3,,48.52455,9.06278,158,"C:23:""Leitsystem\\OpeningHours"":1753:{{""base_timestamp"":{""date"":""2013-05-13 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""weekly_opening_hours"":[[{""date"":""2013-05-13 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-13 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-14 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-14 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-15 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-15 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-16 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-16 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-17 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-17 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-18 10:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-18 22:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-19 10:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-19 22:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}]],""exceptional_opening_hours"":[{""start"":{""date"":""2024-11-01 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""end"":{""date"":""2024-11-01 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""opening_hours"":[]},{""start"":{""date"":""2024-12-24 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""end"":{""date"":""2024-12-26 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""opening_hours"":[]}]}}",/^br25-3E-rechts-[0-9]+|br25-3E-hintenrechts-[0-9]+$/,,08:00:00,00:00:00,10:00:00,22:00:00
6,2016-01-01,00:00:00,UBA4A,"Ammerbau, Ebene 4, Links",http://tuebingen.artec-berlin.de/?lang=de_DE&m=2D&l=6&sl=0&%40subpackage=clients,,4,,48.52492,9.06310,42,"C:23:""Leitsystem\\OpeningHours"":1753:{{""base_timestamp"":{""date"":""2013-05-13 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""weekly_opening_hours"":[[{""date"":""2013-05-13 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-13 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-14 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-14 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-15 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-15 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-16 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-16 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-17 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-17 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-18 10:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-18 22:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-19 10:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-19 22:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}]],""exceptional_opening_hours"":[{""start"":{""date"":""2024-11-01 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""end"":{""date"":""2024-11-01 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""opening_hours"":[]},{""start"":{""date"":""2024-12-24 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""end"":{""date"":""2024-12-26 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""opening_hours"":[]}]}}",/^br25-4E-links-[0-9]+|br25-4E-hintenlinks-[0-9]+$/,,08:00:00,00:00:00,10:00:00,22:00:00
7,2016-01-01,00:00:00,UBA4B,"Ammerbau, Ebene 4, Mitte",http://tuebingen.artec-berlin.de/?lang=de_DE&m=2D&l=6&sl=0&%40subpackage=clients,,4,,48.52474,9.06293,27,"C:23:""Leitsystem\\OpeningHours"":1753:{{""base_timestamp"":{""date"":""2013-05-13 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""weekly_opening_hours"":[[{""date"":""2013-05-13 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-13 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-14 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-14 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-15 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-15 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-16 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-16 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-17 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-17 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-18 10:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-18 22:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-19 10:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-19 22:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}]],""exceptional_opening_hours"":[{""start"":{""date"":""2024-11-01 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""end"":{""date"":""2024-11-01 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""opening_hours"":[]},{""start"":{""date"":""2024-12-24 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""end"":{""date"":""2024-12-26 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""opening_hours"":[]}]}}",/^br25-4E-mitte-[0-9]+|br25-4E-hintenmitte-[0-9]+$/,,08:00:00,00:00:00,10:00:00,22:00:00
9,2016-01-01,00:00:00,UBA5A,"Ammerbau, Ebene 5, Links",http://tuebingen.artec-berlin.de/?lang=de_DE&m=2D&l=7&sl=0&%40subpackage=clients,,5,,48.52492,9.06310,27,"C:23:""Leitsystem\\OpeningHours"":1753:{{""base_timestamp"":{""date"":""2013-05-13 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""weekly_opening_hours"":[[{""date"":""2013-05-13 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-13 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-14 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-14 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-15 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-15 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-16 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-16 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-17 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-17 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-18 10:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-18 22:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-19 10:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-19 22:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}]],""exceptional_opening_hours"":[{""start"":{""date"":""2024-11-01 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""end"":{""date"":""2024-11-01 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""opening_hours"":[]},{""start"":{""date"":""2024-12-24 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""end"":{""date"":""2024-12-26 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""opening_hours"":[]}]}}",/^br25-5E-links-[0-9]+|br25-5E-hintenlinks-[0-9]+$/,,08:00:00,00:00:00,10:00:00,22:00:00
10,2016-01-01,00:00:00,UBA5B,"Ammerbau, Ebene 5, Mitte",http://tuebingen.artec-berlin.de/?lang=de_DE&m=2D&l=7&sl=0&%40subpackage=clients,,5,,48.52474,9.06293,29,"C:23:""Leitsystem\\OpeningHours"":1753:{{""base_timestamp"":{""date"":""2013-05-13 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""weekly_opening_hours"":[[{""date"":""2013-05-13 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-13 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-14 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-14 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-15 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-15 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-16 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-16 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-17 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-17 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-18 10:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-18 22:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-19 10:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-19 22:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}]],""exceptional_opening_hours"":[{""start"":{""date"":""2024-11-01 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""end"":{""date"":""2024-11-01 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""opening_hours"":[]},{""start"":{""date"":""2024-12-24 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""end"":{""date"":""2024-12-26 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""opening_hours"":[]}]}}",/^br25-5E-mitte-[0-9]+|br25-5E-hintenmitte-[0-9]+$/,,08:00:00,00:00:00,10:00:00,22:00:00
11,2016-01-01,00:00:00,UBA5C,"Ammerbau, Ebene 5, Rechts",http://tuebingen.artec-berlin.de/?lang=de_DE&m=2D&l=7&sl=0&%40subpackage=clients,,5,,48.52455,9.06278,27,"C:23:""Leitsystem\\OpeningHours"":1753:{{""base_timestamp"":{""date"":""2013-05-13 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""weekly_opening_hours"":[[{""date"":""2013-05-13 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-13 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-14 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-14 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-15 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-15 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-16 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-16 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-17 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-17 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-18 10:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-18 22:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-19 10:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-19 22:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}]],""exceptional_opening_hours"":[{""start"":{""date"":""2024-11-01 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""end"":{""date"":""2024-11-01 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""opening_hours"":[]},{""start"":{""date"":""2024-12-24 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""end"":{""date"":""2024-12-26 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""opening_hours"":[]}]}}",/^br25-5E-rechts-[0-9]+|br25-5E-hintenrechts-[0-9]+$/,,08:00:00,00:00:00,10:00:00,22:00:00
12,2016-01-01,00:00:00,UBA6A,"Ammerbau, Ebene 6, Links",http://tuebingen.artec-berlin.de/?lang=de_DE&m=2D&l=8&sl=0&%40subpackage=clients,,6,,48.52492,9.06310,33,"C:23:""Leitsystem\\OpeningHours"":1753:{{""base_timestamp"":{""date"":""2013-05-13 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""weekly_opening_hours"":[[{""date"":""2013-05-13 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-13 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-14 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-14 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-15 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-15 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-16 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-16 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-17 08:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-17 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-18 10:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-18 22:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}],[{""date"":""2013-05-19 10:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},{""date"":""2013-05-19 22:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""}]],""exceptional_opening_hours"":[{""start"":{""date"":""2024-11-01 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""end"":{""date"":""2024-11-01 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""opening_hours"":[]},{""start"":{""date"":""2024-12-24 00:00:00.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""end"":{""date"":""2024-12-26 23:59:59.000000"",""timezone_type"":3,""timezone"":""Europe\\/Berlin""},""opening_hours"":[]}]}}",/^br25-6E-links-[0-9]+$/,,08:00:00,00:00:00,10:00:00,22:00:00
